h,Open,High,Low,Close,Volume,Adj Close
03/08/2016,160.130005,160.860001,159.800003,160.669998,2861700,156.623689
02/08/2016,161.270004,161.449997,160.360001,160.580002,3080900,156.535959
01/08/2016,160.649994,161.649994,159.839996,161.449997,2823600,157.384044
29/07/2016,161.360001,161.669998,160.029999,160.619995,3547500,156.574945
28/07/2016,161.380005,161.809998,160.710007,161.369995,2340400,157.306057
27/07/2016,162.119995,162.570007,161.179993,161.830002,2162700,157.754479
26/07/2016,162.649994,163.600006,161.369995,162.119995,2894600,158.037169
25/07/2016,162,162.880005,161.75,162.649994,2804600,158.55382
22/07/2016,160.779999,162.169998,160.479996,162.070007,2520100,157.98844
21/07/2016,160.75,161.850006,159.889999,160.449997,3518900,156.409228
20/07/2016,159.970001,161.710007,159.600006,161.360001,4376300,157.296314
19/07/2016,161.779999,162.139999,157.889999,159.580002,7120000,155.561143
18/07/2016,159.300003,160.75,158.729996,159.860001,6729700,155.83409
15/07/2016,159.899994,159.979996,158.5,159.779999,4476800,155.756103
14/07/2016,158.809998,161.399994,158.580002,160.279999,4637600,156.243511
13/07/2016,157.75,158.339996,157.059998,158.020004,2746400,154.040432
12/07/2016,156,157.119995,155.520004,157.039993,3843800,153.085102
11/07/2016,154.600006,156.039993,154.5,155.330002,2833700,151.418175
08/07/2016,154,154.600006,153.080002,154.460007,3040600,150.57009
07/07/2016,152.75,153.690002,151.889999,152.600006,2138400,148.756931
06/07/2016,151.850006,152.410004,149.919998,152.369995,2569400,148.532713
05/07/2016,151.190002,152,150.759995,151.679993,2465200,147.860087
01/07/2016,151.779999,152.970001,151.399994,152.350006,2658300,148.513227
30/06/2016,148.860001,151.910004,148.669998,151.779999,3967100,147.957575
29/06/2016,146.5,148.479996,146.449997,148.460007,3367700,144.721194
28/06/2016,144.779999,145.729996,144.220001,145.699997,3997700,142.030692
27/06/2016,146.179993,146.600006,142.5,143.5,5017900,139.886099
24/06/2016,149.970001,150.610001,146.179993,146.589996,9082800,142.898277
23/06/2016,153.449997,155.479996,152.600006,155.350006,3969400,151.437675
22/06/2016,153.75,154.710007,152.270004,152.919998,2833700,149.068865
21/06/2016,154.160004,154.570007,153.690002,154.050003,2760300,150.170412
20/06/2016,152.600006,154.669998,152.520004,153.610001,3572100,149.74149
17/06/2016,150.960007,152.720001,150.600006,151.990005,4663900,148.162293
16/06/2016,150.190002,151.289993,149,151.059998,2449100,147.255706
15/06/2016,151.460007,151.789993,150.600006,150.679993,2260400,146.885271
14/06/2016,151.279999,151.789993,150.399994,151.059998,2865800,147.255706
13/06/2016,151.630005,152.5,150.279999,151.279999,3610400,147.470167
10/06/2016,152.789993,153.330002,151.860001,152.369995,3120600,148.532713
09/06/2016,152.919998,153.759995,152.729996,153.419998,2021800,149.556273
08/06/2016,153.529999,154.089996,153.039993,154,2935000,150.121668
07/06/2016,153.309998,153.929993,152.660004,153.330002,4465000,149.468543
06/06/2016,153.089996,153.949997,152.339996,152.729996,2378700,148.883647
03/06/2016,152.399994,153.039993,151.699997,152.889999,2314800,149.039621
02/06/2016,152.589996,153.5,152.119995,153.5,2642600,149.63426
01/06/2016,153,153.270004,151.539993,152.509995,2663400,148.669187
31/05/2016,152.559998,153.809998,152.270004,153.740005,5836600,149.868221
27/05/2016,152.350006,152.929993,152.149994,152.839996,2422100,148.990878
26/05/2016,151.550003,152.509995,151.050003,152.440002,3062900,148.600957
25/05/2016,148.929993,152.089996,148.5,151.690002,4355300,147.869845
24/05/2016,146.880005,148.75,146.880005,148.309998,2929300,144.574962
23/05/2016,147.610001,147.949997,146.660004,146.770004,2103800,143.073752
20/05/2016,145.710007,147.509995,145.550003,147.25,3671500,143.54166
19/05/2016,146.479996,146.929993,143.960007,144.929993,3685600,141.280079
18/05/2016,147.990005,148.520004,146.360001,147.339996,2491100,143.629389
17/05/2016,149.210007,149.5,147.289993,148,3490600,144.272772
16/05/2016,147.649994,149.990005,147.440002,149.460007,3069100,145.69601
13/05/2016,148.789993,149.860001,147.419998,147.720001,2398000,143.999824
12/05/2016,149.210007,149.389999,147.110001,148.839996,3249200,145.091613
11/05/2016,149.710007,151.089996,148.740005,148.949997,3093000,145.198844
10/05/2016,148.240005,150.039993,147.740005,149.970001,3992700,146.19316
09/05/2016,147.699997,148.199997,147.009995,147.339996,4302400,143.629389
06/05/2016,144.860001,147.970001,144.470001,147.289993,4880300,143.580646
05/05/2016,145.949997,147.300003,145.449997,146.470001,6501200,141.416559
04/05/2016,143.360001,145,143.309998,144.25,2577100,139.273151
03/05/2016,144.649994,144.899994,142.899994,144.130005,3553500,139.157296
02/05/2016,146.559998,147,144.429993,145.270004,3502400,140.257964
29/04/2016,146.490005,147.339996,144.190002,145.940002,4225800,140.904846
28/04/2016,149.75,150.179993,146.729996,147.070007,3791500,141.995864
27/04/2016,149.350006,150.779999,148.970001,150.470001,3111200,145.278553
26/04/2016,148.649994,149.789993,147.899994,149.080002,2979800,143.93651
25/04/2016,148.160004,148.899994,147.110001,148.809998,2848900,143.675822
22/04/2016,149.440002,151,147.5,148.5,5191900,143.376519
21/04/2016,146.580002,150.119995,146.460007,149.300003,6017700,144.148921
20/04/2016,144.240005,147.199997,144,146.110001,6754300,141.068979
19/04/2016,146.470001,146.949997,142.610001,144,13190200,139.031776
18/04/2016,151.720001,153.139999,151.490005,152.529999,5737700,147.267477
15/04/2016,151.039993,152.100006,150.960007,151.720001,3657600,146.485426
14/04/2016,151.5,152.759995,150.380005,151.160004,3176500,145.944749
13/04/2016,150.75,151.229996,149.630005,151.229996,3168400,146.012326
12/04/2016,149.610001,150.110001,148.580002,149.630005,3595800,144.467537
11/04/2016,150.259995,151.949997,149.220001,149.25,3846100,144.100643
08/04/2016,149.059998,149.990005,148.119995,149.350006,3293800,144.197199
07/04/2016,149.070007,149.600006,148,148.25,3663000,143.135145
06/04/2016,149.899994,150.149994,147.809998,150.020004,4194600,144.844081
05/04/2016,151.429993,151.600006,149.649994,150,3337000,144.824767
04/04/2016,152.339996,153.520004,151.910004,152.070007,3931200,146.823356
